codigo,departamento,hombres,mujeres
05,Antioquia,3193573,3341284
08,Atlántico,1230271,1259243
11,"Bogotá, D.C.",3861624,4118377
13,Bolívar,1061230,1060726
15,Boyacá,640710,637397
17,Caldas,484228,505706
18,Caquetá,242466,241380
19,Cauca,704920,686916
20,Cesar,519935,521269
23,Córdoba,869955,866215
25,Cundinamarca,1356640,1364728
27,Chocó,252911,252105
41,Huila,586427,582442
44,La Guajira,487882,497570
47,Magdalena,643189,629253
50,Meta,489436,490274
52,Nariño,886341,879565
54,Norte De Santander,677714,689994
63,Quindio,279112,289394
66,Risaralda,465960,491294
68,Santander,1023783,1047233
70,Sucre,435752,424161
73,Tolima,706467,705753
76,Valle Del Cauca,2257558,2403183
81,Arauca,133241,131949
85,Casanare,183874,178847
86,Putumayo,176731,172806
88,San Andrés,38366,38735
91,Amazonas,38781,38307
94,Guainía,21709,20414
95,Guaviare,58742,53879
97,Vaupés,22170,21909
99,Vichada,37337,36365
